Business Name,Building,Workers,Category,Information
T World Inc,"BLDG 77 STE 1226, Brooklyn Navy Yard 11205",1,Transportation,Cargo Hauling
T. Donnelly,"BLDG 77 STE 1215, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Sculpture, High Profile"
Tarform,"BLDG 303 STE 801, Brooklyn Navy Yard 11205",0,Power & Energy,"E-Bikes, Motorcycles, Sustainable"
Tart Vinegar aka Whatever Mom,"BLDG 77 STE 1218, Brooklyn Navy Yard 11205",2,Food & Beverage,"Specialty Vinegar, E-commerce Retail"
Tatiana Arocha,"BLDG 131 STE 3L, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
TCS Technological Cinevideo Services,"BLDG 77 STE 901, Brooklyn Navy Yard 11205",6,Creative Office & Media,"Equipment Rental for Film, TV, Events"
Te Company aka Te Parlor,"BLDG 303 STE 602, Brooklyn Navy Yard 11205",1,Food & Beverage,"Specialty Tea, Tea Sets, Retail, E-commerce Retail"
Teknikio,"BLDG 128, STE n/a Newlab",1,"""Hardware, Software, & Design Engineering""","Edtech, Toys"
Ten Ton Studio,"BLDG 280 STE 819, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Terrament,"BLDG 128, STE n/a Newlab",1,Power & Energy,Underground battery storage; Sustainability
Terreform ONE,"BLDG 212 STE 201, Brooklyn Navy Yard 11205",5,Education & Nonprofit,"501c3; Art, Architecture, and Urban Design research group, Sustainability"
Thalo Labs,"BLDG 77 STE 408, Brooklyn Navy Yard 11205",4,,"Industry: Manufacturers & Distributors, Sub Industry: Power & Energy"
The Black Cake Company,"BLDG 77 STE 110A, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Food & Bev Production"
The Closet Maven,"BLDG 292, STE 321",1,Fabrication & Custom Installation (Wood & Metal),Closet & Cabinet Manufacturing
The Factory,723 Kent Ave Brooklyn,1,,"We specialize in photography sets, event fabrication, custom props, scenic painting, carpentry, and remodeled interiors. The 7000 square foot workshop located in Williamsburg, Brooklyn, is well equipped to excel in everything from woodworking, CNC, welding, to mold making and sprayed plastics. Founded by artists and staffed with skilled craftsmen, the Factory excels in solving your creative demands. We take pride in building smarter, using superior materials, and focusing on details in order to give you the perfect product.

https://www.linkedin.com/company/the-factory-nyc/"
The Food Sermon,,0,,
The Hedda Sterne Foundation,"BLDG 77 STE 1106, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Artist Rep, Foundation"
The Pickle Guys ,,2,Food & Beverage,Making pickled goods
The Sealab,,1,Furniture & Home Goods,"Interior millwork, cabinets and furniture"
The Sodium Ranch,"BLDG 3 STE 314, Brooklyn Navy Yard 11205",3,Creative Office & Media,"Production Equipment Rental, Grip & Electric, Lighting, Lighting Design Services"
Thea Energy,,1,Power & Energy,
Thermoverse,,1,,
Thrya Heder - Sublease,"BLDG , STE ",0,,
Thyra Heder,"BLDG 62 STE 303, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Illustration, Painting, Childrens Books"
Tidbyt,"BLDG 72, STE 8",2,,"No information in JT tracker or in SF. Not sure if active, former, any details."
Ting Yih,"BLDG 120 STE 205, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Fine Art & Photography"
Tinygiant,"BLDG 275 STE 304, Brooklyn Navy Yard 11205",2,Creative Office & Media,"Creative Production Company, Commercial, Film and TV"
Todd Bracher Studio aka Betterlab,"BLDG 275, STE 403, Brooklyn Navy Yard",1,Architecture & Design,Industrial and Product Design for Technologists and Scientists
Tom Edmonds,"BLDG 3 STE 1108, 1009, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,Wood Furniture and Decor
TomTex,"BLDG 303, STE 803, Brooklyn Navy Yard",7,"""Biotech, Lab, & Medtech""","Biodegradable Leather Alternative from Seafood Waste, Materials Innovation, Sustainability, Life Sciences"
Tonic Group,"BLDG 77 STE 1208, Brooklyn Navy Yard 11205",2,Creative Office & Media,"Marketing Agency, Graphic Design, Brand Development, Package Desing, Art Direction, Photography, Short Content Creator, Commercial"
Townsend Studio D/B/A Midden Projects,"BLDG 3, STE 1012, Brooklyn Navy Yard",1,Architecture & Design,Furniture Design Studio
Tracey Tanner,"BLDG 3 STE 314, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Furniture & Homegoods"
Transmitter Brewing,"BLDG 77 STE 104, Brooklyn Navy Yard 11205",2,Food & Beverage,"Beer, Brewery, Retail, The Market @77"
Transparent Logistics aka Transparent International,"BLDG 77 STE 1007, Brooklyn Navy Yard 11205",1,Transportation,"Moving, Logistics, and Shipping Services"
Trendy Accessories Manufacturing,"BLDG 3, STE 606, Brooklyn Navy Yard, Brooklyn 11205",2,Apparel & Accessory,"Handbags, Belts, Dog leashes, Wallets, B2B for Fashion Industry"
Tribeca Companies aka Senneca Diagnostics,"BLDG 77 STE 1324, Brooklyn Navy Yard 11205",1,Other / Professional Services,"Investment Advisor, Real Estate and Equity Specialty"
Triple J Bedding aka Ruckel Mfg. Co.,"BLDG 3 STE 705, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,Institutional bedding manufacturer and wholesale distributor
Truebird,,0,,
Tunji Dada,"BLDG 280, STE 415, Brooklyn Navy Yard",1,Apparel & Accessory,Trenchcoats
Turner Construction,,1,,
Turnover Labs,,1,"""Biotech, Lab, & Medtech""","Cheaper, on-site synthesis of carbon-neutral chemical feeds"
Turnstile Tours,"BLDG 131 STE 3F, Brooklyn Navy Yard 11205",2,Other / Professional Services,"Tours, B Corp"
Turntable Lab,"BLDG 3 STE 806A, 807, 810, Brooklyn Navy Yard 11205",3,Furniture & Home Goods,"Records, Audio Equipment, Record and Audio Storage Equipment, E-commerce Retail"
Twelve Point aka Bill Malchow,"BLDG 77 STE 1045, Brooklyn Navy Yard 11205",1,Other / Professional Services,"Jazz Musicican, Pianist and Vocalist, Available for Bookings (with the Bill Malchow Trio) "
Twenty04,"BLDG 77, STE 1123",1,,
Twoseven Inc,"221 McKIBBIN STREET   
BROOKLYN, NY
",4,,
Tyler Matson aka Project 3113,"BLDG 77, STE 1308",1,Fine Art & Photography,"Photography, Commercial, Product Photography, Fashion"
UBR Studio,"BLDG 77, STE 1306",3,Furniture & Home Goods,Architectural Home Objects
Ultra Literary LLC,,2,,
UMR Channels Group aka Build Up Purpose,"BLDG 77 STE 1128, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Creative Production Company, Content Programming and Distribution"
Uncool Artist aka Voxmojo LLC,"BLDG 77, STE 1324B",1,Fine Art & Photography,"Software Platform, Artist Collective"
Underground Signs,"BLDG 131 STE 3U, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Printing & Engraving"
Uppeal LLC,,1,Furniture & Home Goods,"Prototyping, production and fulfillment of adjustable height desks"
Urban Homecraft,"BLDG 275 STE 409, Brooklyn Navy Yard 11205",3,Fabrication & Custom Installation (Wood & Metal),"Woodworking, Millwork, Cabinetry"
URBAN-X,"BLDG 128, STE n/a Newlab",1,,"Industry: Services, Artists, & Designers, Sub Industry: Other (Mostly Professional Services)"
Urbanstrong,"BLDG 212, STE 305, Brooklyn Navy Yard",3,Architecture & Design,"Green Rooftop Design, Solar integration, Living walls, Sustainability, High quantity of living wall protoyping on-site"
Vandon Owen Marshall aka VOM Carpentry,,1,Fabrication & Custom Installation (Wood & Metal),Woodworker
Vecna Robotics,"BLDG 128, STE n/a Newlab",1,"""Hardware, Software, & Design Engineering""",Dark Warehouse Robotics
Vela Bikes,"BLDG 128, STE n/a Newlab",1,Power & Energy,"E-Bikes, Sustainable"
Velvet Caviar,"BLDG 77, STE 706, Brooklyn Navy Yard",3,Apparel & Accessory,"Phone Cases, +Design, E-commerce Retail"
